,text,emotion
0,este trabalho e agradável,alegria
1,gosto de ficar no seu aconchego,alegria
2,fiz a adesão ao curso hoje,alegria
3,eu sou admirada por muitos,alegria
4,adoro como você e,alegria
5,adoro seu cabelo macio,alegria
6,adoro a cor dos seus olhos,alegria
7,somo tão amáveis um com o outro,alegria
8,sinto uma grande afeição por ele,alegria
9,quero agradar meus filhos,alegria
10,me sinto completamente amado,alegria
11,eu amo você,alegria
12,que grande alivio,alegria
13,a dor esta amenizando finalmente,alegria
14,acho que me apaixonei,alegria
15,amar e maravilhoso,alegria
16,estou me sentindo muito animada,alegria
17,me sinto muito bem hoje,alegria
18,como o luar e belo,alegria
19,o dia esta muito bonito,alegria
20,nossa como sou afortunado,alegria
21,as maravilhas do mundo,alegria
22,recebi muito carinho hoje do meus colegas,alegria
23,estou me sentindo reconfortada hoje,alegria
24,e muito bom estar com os amigos,alegria
25,estou muito contente com o resultado dos testes,alegria
26,essa pintura esta bem brilhante,alegria
27,temos água em abundancia,alegria
28,que roupa delicada,alegria
29,você e um grande comediante,alegria
30,que bondade a sua em vir aqui,alegria
31,o amor e lindo,alegria
32,nossa amizade vai durar para sempre,alegria
33,estou eufórica com a noticia,alegria
34,ele e realmente fiel a mim,alegria
35,vou dar uma grande festa para comemorar meu aniversário,alegria
36,graças a deus que eu enxerguei o certo,alegria
37,essa e a melhor escolhas de todas,alegria
38,o mais incrível e você minha bela,alegria
39,e tão engraçado tentar explicar,alegria
40,e emocionante estar neste lugar,alegria
41,estou cativada pelo seu olhar,alegria
42,estou loucamente apaixonada,alegria
43,eu nunca tive duvidas,alegria
44,estou rodeada pelo seu abraço,alegria
45,eu vejo estrelas pelo caminho,alegria
46,eu sinto o sol sempre que você esta por perto,alegria
47,eu estou sorrindo de orelha a orelha,alegria
48,isso vale a pena,alegria
49,finalmente você colocou meu amor em primeiro lugar,alegria
50,nós dançamos noite adentro,alegria
51,seu amor e brilhante,alegria
52,toquei muitos corações durante o meu caminho,alegria
53,eu serei sua amiga e companheira,alegria
54,você me traz de volta a vida,alegria
55,você e como um sonho doce,alegria
56,adoro este doce de frutas,alegria
57,meu suco favorito,alegria
58,estou agradecida pela ajuda,alegria
59,e um enorme prazer ter você em nossa equipe,alegria
60,trabalhar em equipe e o melhor,alegria
61,me sinto flutuando no ar,alegria
62,a brisa esta agradável hoje,alegria
63,ótimo e compatível,alegria
64,somos compatíveis um com o outro,alegria
65,o órgão e compatível com o paciente,alegria
66,estou contente fui aceita na faculdade,alegria
67,fui aprovada no meu exame,alegria
68,fui beneficiada pela minha empresa,alegria
69,eu sou muito cativante,alegria
70,estou contente com o apoio,alegria
71,como este lugar e confortável,alegria
72,e bom estar quente neste frio,alegria
73,um elogio nunca e demais,alegria
74,vou te chamar para comemorar,alegria
75,e desejável a sua presença em nossa apresentação,alegria
76,sou muito grata a você,alegria
77,me dedico muito naquilo que faço,alegria
78,estou completamente apaixonada ,alegria
79,vamos agitar essa noite ,alegria
80,você significa muito para mim,alegria
81,vamos agir sem preconceitos e julgamentos,alegria
82,"finalmente completei a minha coleção, maravilhoso",alegria
83,eu sou sua rainha ,alegria
84,satisfatoriamente eu anuncio o vencedor dos jogos,alegria
85,você me atrai facilmente ,alegria
86,aquele rapaz e extremamente atraente,alegria
87,sinto-me viva ,alegria
88,sinto-me em paz ,alegria
89,estamos tendo muito lucro,alegria
90,muito bem esta tudo em ordem agora ,alegria
91,podemos arrumar um emprego juntos ,alegria
92,"a arrumação esta terminada, que alívio",alegria
93,o câncer e benigno ,alegria
94,o amor e abundante,alegria
95,vamos ser caridosos este natal,alegria
96,com todo esse charme você irá atrair a todos,alegria
97,nossa como você e charmoso querido ,alegria
98,sou querida pelos meu amigos,alegria
99,seja cuidadoso com os meus sentimentos,alegria
100,estou comovido com tamanha caridade,alegria
101,um chá quente e reconfortante,alegria
102,que alegria ter vocês aqui ,alegria
103,vamos aplaudir o vencedor ,alegria
104,palmas para a aniversariante,alegria
105,desejo a você tudo de bom,alegria
106,hora de apreciar um bom vinho,alegria
107,aprecio sua presença em minha escola,alegria
108,anseio por seus próximos trabalhos,alegria
109,maravilhoso jogo amistoso,alegria
110,e ótimo que os ânimos tenham se apaziguado,alegria
111,concretizei finalmente meu sonho,alegria
112,você e abominável,desgosto
113,abomino a maneira como você age,desgosto
114,estou adoentado,desgosto
115,meu pai esta adoentado,desgosto
116,estamos todos doentes,desgosto
117,essa situação e muito amarga,desgosto
118,disse adeus amargamente,desgosto
119,tenho antipatia por aquela pessoa,desgosto
120,como pode ser tão antipática!,desgosto
121,que horrível seu asqueroso,desgosto
122,tenho aversão agente como você,desgosto
123,isso tudo e só chateação,desgosto
124,estou muito chateada com suas mentiras,desgosto
125,tão desagradável,desgosto
126,isso me desagrada completamente,desgosto
127,te desagrada isso,desgosto
128,estou com enjôos terríveis,desgosto
129,todos estão enfermos,desgosto
130,foi uma enfermidade terrível,desgosto
131,isso e muito grave,desgosto
132,não seja tão grosseiro,desgosto
133,você fez uma manobra ilegal,desgosto
134,"sua indecente, não tem vergonha?",desgosto
135,você e malvado com as crianças,desgosto
136,que comentário maldoso,desgosto
137,sem escrúpulos você manipula a tudo,desgosto
138,sinto repulsa por você,desgosto
139,e repulsivo a maneira como olha para as pessoas,desgosto
140,estou indisposta,desgosto
141,a indisposição me atacou hoje,desgosto
142,acho que vou vomitar,desgosto
143,tem muito vomito lá,desgosto
144,que incomodo essa dor,desgosto
145,não me incomode nunca mais,desgosto
146,suas bobagens estão nos incomodando,desgosto
147,que nojo olha toda essa sujeira,desgosto
148,como isso está sujo,desgosto
149,tenho náuseas só de lembrar,desgosto
150,me sinto nauseada com o cheiro desta comida,desgosto
151,você esta obstruindo a passagem de ar,desgosto
152,você esta terrivelmente doente,desgosto
153,olhe que feia esta roupa,desgosto
154,que atitude deplorável,desgosto
155,nossa como você e feio,desgosto
156,muito mau tudo isso,desgosto
157,estou desgostoso com você,desgosto
158,você cortou o meu assunto,desgosto
159,para que tanta chateação?,desgosto
160,esse perfume e enjoativo,desgosto
161,ser perigoso não nada bom,desgosto
162,você e perigoso demais para minha filhas,desgosto
163,que fetido este esgoto,desgosto
164,que fedido você esta,desgosto
165,que cachorro malcheiroso,desgosto
166,hora que ultraje,desgosto
167,e ultrajante da sua parte,desgosto
168,situação desagradável essa,desgosto
169,você só me da desgosto,desgosto
170,tenho aversão a pessoas assim,desgosto
171,antipatia e um mal da sociedade,desgosto
172,que criatura abominável,desgosto
173,e depressiva a maneira como você vê o mundo,desgosto
174,me desagrada sua presença na festa,desgosto
175,sinto asco dessa coisa,desgosto
176,que hediondo!,desgosto
177,vou golfar o cafe fora,desgosto
178,hora que garota detestável!,desgosto
179,estou nauseada,desgosto
180,isso que você disse foi muito grave,desgosto
181,não seja obsceno na frente das crianças,desgosto
182,não seja rude com as visitas,desgosto
183,esse assunto me da repulsa,desgosto
184,que criança terrivelmente travessa,desgosto
185,que criança mal educada,desgosto
186,estou indisposta te dar o divorcio,desgosto
187,"tão patetico, não tem nada mais rude para dizer?",desgosto
188,"por motivo torpe, com emprego de meio cruel e com impossibilidade de defesa para a vítima",desgosto
189,a inveja e tão vil e vergonhosa que ninguem se atreve a confessá-la,desgosto
190,o miserável receio de ser sentimental e o mais vil de todos os receios modernos,desgosto
191,travesso gato quando fica com saudades do dono mija no sapato,desgosto
192,isso e um ato detestável e covarde,desgosto
193,revelam apenas o que e destrutivo e detestável para o povo,desgosto
194,"não sei como e a vida de um patife, mais a de um homem honesto e abominável",desgosto
195,há coisas que temos que suportar para não acharmos a vida insuportável,desgosto
196,as injurias do tempo e as injustiças do homem,desgosto
197,odioso e desumano,desgosto
198,"você não publicará conteúdo odiento, pornográfico ou ameaçador",desgosto
199,rancoroso e reprimido,desgosto
200,"não há animal mais degradante, estúpido, covarde, lamentável, egoísta, rancoroso e invejoso do que o homem",desgosto
201,o virulento debate ente políticos,desgosto
202,"eu imploro, não me matem!",medo
203,tem certeza que não e perigoso?,medo
204,não tenho certeza se e seguro,medo
205,tenho que correr pra não me pegarem,medo
206,socorro! ele queria roubar os meus doces!,medo
207,esse cara está me perseguindo,medo
208,"não entro lá, e um lugar muito perigoso",medo
209,este lugar continua assustador,medo
210,na selva tem muitos animais perigosos,medo
211,avancem com cautela,medo
212,"este lugar está silencioso de mais, cuidado!",medo
213,"por favor, deixe-me viver!",medo
214,vou ficar sem mesada se tirar nota baixa,medo
215,parece que tem olhos nos vigiando,medo
216,eu temo que a sentença do juiz possa ser negativa,medo
217,mas essa missão e arriscada,medo
218,salvem-se quem puder!,medo
219,meu plano pode ser descoberto,medo
220,"não tive culpa, juro não fui eu",medo
221,tenho que tomar cuidado com o lobisomem,medo
222,"se eu não achar, ele vai descobrir a verdade",medo
223,"meu deus, ele desapareceu!",medo
224,tomara que eles não me vejam daqui!,medo
225,"mantenha isso em segredo, se descobrirem estaremos ferrados",medo
226,"por favor, me soltem, eu sou inocente",medo
227,estou ouvindo passos atrás de mim,medo
228,eu vou pedir socorro!,medo
229,cuidado com as curvas na estrada,medo
230,"não sei não, parece perigoso",medo
231,estou tremendo de medo!,medo
232,"socorro, eu vou cair!",medo
233,"eu não vou ate a floresta negra, e muito perigoso",medo
234,ouço passos na minha direção,medo
235,acho que está arriscado de mais,medo
236,"vamos voltar, e muito perigoso",medo
237,"fuja, se não acabaremos mortos",medo
238,receio por não me livrar desta situação,medo
239,socorro! ele está armado!,medo
240,"ei cuidado, você vai bater no poste!",medo
241,"socorro, nós estamos afundando",medo
242,"e serio, cuidado com essa arma!",medo
243,os tubarões estão atacando!,medo
244,sinto arrepios quando fico sozinho no escuro,medo
245,"calma, eu não estou com o dinheiro",medo
246,eu acho que estou sendo enganado,medo
247,"ligeiro, temos que fugir depressa",medo
248,tem um crocodilo selvagem vindo para cá,medo
249,se ficarmos quietos eles não vão nos achar,medo
250,fuja! o tigre parece faminto,medo
251,"estou sem saída, preciso de um milagre",medo
252,tire isso de mim! socorro!,medo
253,"não sei nadar, vou me afogar!",medo
254,vou apanhar se meus pais verem meu boletim,medo
255,não consigo sair daqui!,medo
256,"se sair tão tarde, poderei ser assaltada",medo
257,não me deixe por favor!,medo
258,"espere, não pode me largar aqui sozinho",medo
259,temo pela sua segurança,medo
260,"eu te entrego o dinheiro, por favor não me mate!",medo
261,ele vai levar todo o meu dinheiro,medo
262,não dirija tão rápido assim,medo
263,"me descobriram, irão me prender!",medo
264,só espero que não me façam nenhum mal,medo
265,"vou me afogar, me ajudem a sair da água",medo
266,não estaremos a salvo aqui,medo
267,não quero nem pensar no que pode acontecer,medo
268,nessa cidade e uma desgraça atrás da outra,medo
269,"alguem esta me ligando, estou assustado",medo
270,"isso não e remedio, não me matem",medo
271,"eu não confio nele, tenho que ter cautela",medo
272,muita cautela,medo
273,"vou ser descoberto, meu deus",medo
274,receio que terei de ir,medo
275,a noite e muito perigosa,medo
276,estou estremecendo com essa casa,medo
277,olha aquela criatura se movendo monstruosamente,medo
278,não agüento este suspense,medo
279,afugente os cães,medo
280,estou chocado e amedrontado com este assassinato brutal,medo
281,e preciso afugenta com ímpeto este medo do inferno,medo
282,seu políticos usam suas forças para afugentar e amedrontar o povo,medo
283,o objetivo disso e apenas me amedrontar mais,medo
284,isso me apavora,medo
285,ele a feriu profundamente,raiva
286,vou despejar minha cólera em você,raiva
287,me sinto atormentado,raiva
288,não me contrarie,raiva
289,vou destruir tudo  que foi construído,raiva
290,"não consigo terminar este trabalho, e muito frustrante",raiva
291,me frustra a sua presença aqui,raiva
292,esta comida me parece muito ruim,raiva
293,você me destrói,raiva
294,estamos separados,raiva
295,estou odiando este vestido,raiva
296,não pude comprar meu celular hoje,raiva
297,ela e uma garota ruim,raiva
298,estivemos em um show horroroso,raiva
299,o ingresso estava muito caro,raiva
300,se eu estragar tudo vai por água a baixo,raiva
301,não possuo dinheiro algum,raiva
302,sou muito pobre,raiva
303,vai prejudicar a todos esta nova medida,raiva
304,ficou ridículo,raiva
305,este sapato esta muito apertado,raiva
306,a musica e uma ofensa aos meus ouvidos,raiva
307,não consigo terminar uma tarefa muito difícil,raiva
308,reprovei em minha graduação,raiva
309,estou muito chateado com tudo,raiva
310,eu odeio em você,raiva
311,e um desprazer conhecê-lo,raiva
312,estou desperdiçando minhas ferias,raiva
313,e muito ruim este jogo,raiva
314,vamos ter muito rancor pela frente,raiva
315,não achei que seria tão terrível,raiva
316,vou vetar o orçamento ao cliente,raiva
317,meus pais não consentiram nosso casamento,raiva
318,eu odiei este perfume,raiva
319,seu descaso e frustrante,raiva
320,me sinto completamente amarga,raiva
321,desprezo muito o seu trabalho,raiva
322,estamos descontentes por nossa família,raiva
323,vou infernizar a sua empresa,raiva
324,estou furioso com estes valores,raiva
325,obrigaram o rapaz a sair,raiva
326,como ele pode deixar de lado?,raiva
327,são apenas injurias sobre mim,raiva
328,estou enfurecido com a situação dessa empresa,raiva
329,estou com o diabo no corpo,raiva
330,isso foi diabólico,raiva
331,tenho aversão à gente chata,raiva
332,não vou perdoar sua traição,raiva
333,esse dinheiro sujo e corrupto,raiva
334,eles me crucificam o tempo todo,raiva
335,eu vou enlouquecer com todo este barulho,raiva
336,não agüento todo esse assedio,raiva
337,cólera do dragão,raiva
338,isso e ridículo!,raiva
339,"da próxima vez, vou inventar tudo sozinho",raiva
340,seus tolos! deixaram ele escapar!,raiva
341,jamais te perdoarei,raiva
342,o que e isso? outra multa,raiva
343,você passou dos limites!,raiva
344,sente-se e cale a boca,raiva
345,ingratosvermesvocês me pagam!,raiva
346,"saiam da dai, se não arranco vocês dai!",raiva
347,você já me causou problemas suficientes,raiva
348,isso foi a gota dagua,raiva
349,o que você tem com isso?,raiva
350,não vejo a hora de me livrar de você,raiva
351,já entendi a jogada seus safados!,raiva
352,você não merece piedade,raiva
353,saia de perto de mim,raiva
354,"suma daqui, ou arranco seu couro!",raiva
355,estou revoltado com essa situação,raiva
356,seu idiota!,raiva
357,"não, eu não vou te emprestar dinheiro!",raiva
358,você não passa de um cafajeste! vai embora,raiva
359,pare de frescura e vá trabalhar,raiva
360,eles merecem uma lição,raiva
361,ainda estou muito bravo com você,raiva
362,eu preciso surrar aquela chantagista,raiva
363,olha o que você fez! derramou!,raiva
364,você está pedindo pra apanhar!,raiva
365,me deixa em paz!,raiva
366,"morra maldito, morra!",raiva
367,você e mais irritante de perto,raiva
368,e bom fechar o bico,raiva
369,magicamente você me surpreendeu,surpresa
370,e imenso esse globo,surpresa
371,isso e tremendamente interessante,surpresa
372,"meu bilhete for sorteado, inacreditável!",surpresa
373,um assalto a mão armada!,surpresa
374,"incrível, cabe em qualquer lugar!",surpresa
375,você por aqui?,surpresa
376,não dá pra acreditar no que ela me contou,surpresa
377,os convidados já estão chegando!,surpresa
378,puxa vida! nunca nos livramos de alguem tão depressa,surpresa
379,"micha carteira sumiu, eu estava com ela na mão",surpresa
380,oh! um disco voador,surpresa
381,"amigos, que bela surpresa!",surpresa
382,nunca pensei que veria isso e perto,surpresa
383,nem acredito que comi tanto,surpresa
384,não acredito que veio me ver,surpresa
385,não acredito que e  tão descarado,surpresa
386,me surpreende sua falta de tato,surpresa
387,o predio onde eles moravam desabou!,surpresa
