,text,emotion
388,inacreditável um bolo tão grande,surpresa
389,e serio mesmo? não dá pra acreditar,surpresa
390,como assim não vai ao nosso encontro?,surpresa
391,como assim não tem ninguem em casa?,surpresa
392,"ue, mas para onde ele foi?!",surpresa
393,por essa eu não esperava,surpresa
394,"nossa, olha só que mergulho",surpresa
395,minha esposa está grávida!,surpresa
396,meu dinheiro sumiu!,surpresa
397,e verdade que os dois terminaram?!?,surpresa
398,"caramba, nem vi você chegar",surpresa
399,"nossa, como pode alguem cozinhar tão mal?",surpresa
400,nossa que incrível,surpresa
401,a fórmula sumiu!,surpresa
402,eu nem acredito que já estou terminando o curso,surpresa
403,não acredito que esta aqui comigo novamente,surpresa
404,está escondendo algo de nós!,surpresa
405,"como assim, ainda não terminou a tarefa",surpresa
406,pensei que já estivesse pronta!,surpresa
407,opa! quem apagou a luz?,surpresa
408,caramba! aonde vai tão rápido?,surpresa
409,estamos seguindo o caminho errado!,surpresa
410,quatro reais o litro da gasolina!,surpresa
411,me assustei ao vê-lo desse jeito!,surpresa
412,"minha mãe está grávida, acredita nisso?",surpresa
413,parece mentira você ter crescido tanto,surpresa
414,me surpreende sua imaginação,surpresa
415,suas roupas são realmente lindas,surpresa
416,com consegue ser tão bela?,surpresa
417,essa e realmente uma casa deslumbrante,surpresa
418,superou minhas expectativas,surpresa
419,e admirável a maneira como se comporta,surpresa
420,isso e realmente chocante,surpresa
421,algumas noticias me surpreenderam no noticiário,surpresa
422,surpreendente sua festa,surpresa
423,estou tremendo de alegria,surpresa
424,chocou grande parte do mundo,surpresa
425,eu ficaria muito espantado com a sua vinda,surpresa
426,ele e admirável,surpresa
427,sua beleza me surpreendeu,surpresa
428,seus olhos são surpreendentemente verdes,surpresa
429,os políticos se surpreendem quando alguem acredita neles,surpresa
430,estou perplexa com essas denuncias,surpresa
431,fiquei perplexo com suas palavras,surpresa
432,estou abismado com sua prosa,surpresa
433,eu ficaria realmente abismado se me dissessem isso,surpresa
434,o grupo foi surpreendido enquanto lavava o carro,surpresa
435,estou boquiaberto com as imagens,surpresa
436,estou boquiaberto com essas suas palavras,surpresa
437,esse quadro e maravilhoso,surpresa
438,este carro me deixou maravilhado,surpresa
439,estou maravilhada,surpresa
440,essa expectativa esta me matando,surpresa
441,vou caminhar sempre na expectativa de encontrá-lo,surpresa
442,você emudece minhas palavras,surpresa
443,minhas palavras vão emudecer se não parar de me surpreender,surpresa
444,a mulher e um efeito deslumbrante da natureza,surpresa
445,estou deslumbrada com essas jóias,surpresa
446,isso e romântico e deslumbrante,surpresa
447,isso pode ser surpreendentemente deslumbrante,surpresa
448,trabalho deslumbrante,surpresa
449,essas pessoas são esplêndida,surpresa
450,e esplendido como o ceu se encontra no momento,surpresa
451,e um carro fantástico,surpresa
452,um edifício realmente fantástico,surpresa
453,por favor não me abandone,tristeza
454,não quero ficar sozinha,tristeza
455,não me deixe sozinha,tristeza
456,estou abatida,tristeza
457,ele esta todo abatido,tristeza
458,tão triste suas palavras,tristeza
459,seu amor não e mais meu,tristeza
460,estou aborrecida,tristeza
461,isso vai me aborrecer,tristeza
462,estou com muita aflição,tristeza
463,me aflige o modo como fala,tristeza
464,estou em agonia com meu intimo,tristeza
465,não quero fazer nada,tristeza
466,me sinto ansiosa e tensa,tristeza
467,não consigo parar de chorar,tristeza
468,não consigo segurar as lagrimas,tristeza
469,e muita dor perder um ente querido,tristeza
470,estou realmente arrependida,tristeza
471,"acho que o carma volta, pois agora sou eu quem sofro",tristeza
472,você não cumpriu suas promessas,tristeza
473,me sinto amargurada,tristeza
474,coitado esta tão triste,tristeza
475,já e tarde de mais,tristeza
476,nosso amor acabou,tristeza
477,essa noite machuca só para mim,tristeza
478,eu não estou mais no seu coração,tristeza
479,você mudou comigo,tristeza
480,quando eu penso em você realmente dói,tristeza
481,como se fosse nada você vê minhas lagrimas,tristeza
482,você disse cruelmente que não se arrependeu,tristeza
483,eu nunca mais vou te ver,tristeza
484,ela esta com depressão,tristeza
485,a depressão aflige as pessoas,tristeza
486,estar depressivo e muito ruim,tristeza
487,estou derrotada e deprimida depois deste dia,tristeza
488,e comovente te ver dessa maneira,tristeza
489,e comovente ver o que os filhos do brasil passam,tristeza
490,como me sinto culpada,tristeza
491,a ansiedade tomou conta de mim,tristeza
492,as pessoas não gostam do meu jeito,tristeza
493,adeus passamos bons momentos juntos,tristeza
494,sinto sua falta,tristeza
495,ele não gostou da minha comida,tristeza
496,estou sem dinheiro para a comida,tristeza
497,queria que fosse o ultimo dia da minha vida,tristeza
498,você está com vergonha de mim,tristeza
499,ela não aceitou a minha proposta,tristeza
500,era o meu ultimo centavo,tristeza
501,reprovei de ano na faculdade,tristeza
502,afinal você só sabe me desfazer,tristeza
503,eu falhei em tudo nessa vida,tristeza
504,eu fui muito humilhado,tristeza
505,e uma história muito triste,tristeza
506,ninguem acredita em mim,tristeza
507,eu não sirvo para nada mesmo,tristeza
508,"droga, não faço nada direito",tristeza
509,sofrimento em dobro na minha vida,tristeza
510,fui demitida essa semana,tristeza
511,as crianças sofrem ainda mais que os adultos,tristeza
512,"pra mim um dia e ruim, o outro e pior",tristeza
513,de repente perdi o apetite,tristeza
514,oh que dia infeliz,tristeza
515,estamos afundados em contas,tristeza
516,nem um milagre pode nos salvar,tristeza
517,só me resta a esperança,tristeza
518,pior que isso não pode ficar,tristeza
519,meu salário e baixo,tristeza
520,não passei no vestibular,tristeza
521,ninguem se importa comigo,tristeza
522,ninguem lembrou do meu aniversário,tristeza
523,tenho tanto azar,tristeza
524,o gosto da vingança e amargo,tristeza
525,sou uma mulher amargurada depois de que você me deixou,tristeza
526,estou desanimada com a vida,tristeza
527,e um desanimo só coitadinha,tristeza
528,a derrota e depressiva,tristeza
529,discriminar e desumano,tristeza
530,que desanimo,tristeza
531,e uma desonra para o pais,tristeza
532,a preocupação deveria nos levar a ação não a depressão,tristeza
533,passamos ao desalento e a loucura,tristeza
534,aquele que nunca viu a tristeza nunca reconhecerá a alegria,tristeza
535,cuidado com a tristeza ela e um vicio,tristeza
0,não precisei pagar o ingresso,alegria
1,se eu ajeitar tudo fica bem,alegria
2,minha fortuna ultrapassa a sua,alegria
3,sou muito afortunado,alegria
4,e benefico para todos esta nova medida,alegria
5,ficou lindo,alegria
6,achei esse sapato muito simpático,alegria
7,estou ansiosa pela sua chegada,alegria
8,congratulações pelo seu aniversário,alegria
9,delicadamente ele a colocou para dormir,alegria
10,a musica e linda,alegria
11,sem musica eu não vivo,alegria
12,conclui uma tarefa muito difícil,alegria
13,conclui minha graduação,alegria
14,estou muito contente com tudo,alegria
15,eu confio em você,alegria
16,e um prazer conhecê-lo,alegria
17,o coleguismo de vocês e animador,alegria
18,estou aproveitando as ferias,alegria
19,vamos aproveitar as ferias,alegria
20,e muito divertido este jogo,alegria
21,vamos ter muita diversão,alegria
22,não achei que me divertiria tanto assim,alegria
23,vou consentir o orçamento ao cliente,alegria
24,com o consentimento dos meus pais podemos nos casar,alegria
25,eu adorei este perfume,alegria
26,sua bondade e cativante,alegria
27,estou despreocupada,alegria
28,não me preocupo com o que aconteceu,alegria
29,me sinto completamente segura,alegria
30,estimo muito o seu trabalho,alegria
31,somos estimados por nossa família,alegria
32,concretizamos nossa ideia,alegria
33,nosso ideal foi alcançado,alegria
34,estamos muito felizes juntos,alegria
35,estou tão animada com os preparativos para o casamento,alegria
36,você será muito amado meu filho,alegria
37,os apaixonados são maravilhosos,alegria
38,agradeço imensamente o seu apoio nestes dias,alegria
39,esta comida me parece muito atraente,alegria
40,você me completa,alegria
41,poderemos completar o projeto hoje!,alegria
42,estamos namorando,alegria
43,estou namorando este vestido a um tempo,alegria
44,pude comprar meu celular hoje,alegria
45,e um deleite poder compartilhar minhas vitórias,alegria
46,ela e um boa garota,alegria
47,estivemos em um ótimo show,alegria
48,o mundo e feio como o pecado,desgosto
49,a coisa mais difícil de esconder e aquilo que não existe,desgosto
50,você errou feio aquele gol,desgosto
51,nunca vou me casar sou muito feia,desgosto
52,os golpes da adversidade são terrivelmente amargos,desgosto
53,os homem ficam terrivelmente chatos,desgosto
54,abominavelmente convencido,desgosto
55,terrivelmente irritado,desgosto
56,as instituições publicas estão terrivelmente decadentes,desgosto
57,a população viveu em isolamento por muito tempo,desgosto
58,estou terrivelmente preocupada,desgosto
59,o nacionalismo e uma doença infantil,desgosto
60,se me es antipático a minha negação esta pronta,desgosto
61,muitos documentários sobre esse casal antipático,desgosto
62,sua beleza não desfaça sua antipatia,desgosto
63,esta e uma experiência desagradável,desgosto
64,desagradável estrago nos banheiros,desgosto
65,o mais irritante no amor e que se trata de um crime que precisa de um cúmplice,desgosto
66,a situação nos causa grande incomodo,desgosto
67,estou preocupado com o incomodo na garganta,desgosto
68,simplesmente não quero amolação da policia,desgosto
69,você e uma criaturinha muito impertinente,desgosto
70,o peso e a dor da vida,desgosto
71,me arrependo amargamente de minhas ações,desgosto
72,o destino e cruel e os homens não são dignos de compaixão,desgosto
73,o ódio conduz ao isolamento cruel e ao desespero,desgosto
74,encerrou com o massacre mais repudiável e asqueroso que se conhece,desgosto
75,de mal gosto e asqueroso,desgosto
76,tudo e inserto neste mundo hediondo,desgosto
77,o crime de corrupção e um crime hediondo,desgosto
78,o rio esta fetido e de cor escura,desgosto
79,muito lixo no rio o deixa malcheiroso,desgosto
80,existe uma laranja podre no grupo e já desconfiamos quem e,desgosto
81,foi de repente estou machucado e me sentindo enjoado,desgosto
82,eu fiquei enojado,desgosto
83,daqui alguns meses vou embora deste pais que já estou nauseado,desgosto
84,que abominável esse montro!,medo
85,vamos alarmar a todos sobre a situação,medo
86,estou amedrontada,medo
87,estou com muito medo da noite,medo
88,ele esta me ameaçando a dias,medo
89,quanta angustia,medo
90,estou angustiada,medo
91,angustiadamente vou sair e casa,medo
92,isso me deixa apavorada,medo
93,você esta me apavorando,medo
94,estou desconfiada de você,medo
95,não confio em você,medo
96,ate o cachorro está apavorado,medo
97,estou assustado com as ações do meu colega,medo
98,"agora se sente humilhado, apavorado",medo
99,assustou a população e provocou mortes,medo
100,estou com dificuldades para respirar e muito assustado,medo
101,os policiais se assustaram quando o carro capotou,medo
102,o trabalhador e assombrado pelo temor do desemprego,medo
103,este lugar e mal assombrado,medo
104,estou assombrado pela crise financeira,medo
105,mesmo aterrorizado lembro de você,medo
106,aterrorizado e suando frio,medo
107,um grupo de elefantes selvagens tem aterrorizado vilas,medo
108,me sinto intimidada pela sua presença,medo
109,tenho medo de ser advertida novamente,medo
110,estou correndo o risco de ser advertido,medo
111,estou correndo riscos de saúde,medo
112,os riscos são reais,medo
113,podemos perder muito dinheiro com essa investida,medo
114,"socorro, fui intimado a depor",medo
115,fui notificado e estou com medo de perde a guarda da minha filha,medo
116,estou angustiada com meus filhos na rua,medo
117,e abominável o que fazem com os animais,medo
118,foi terrível o tigre quase o matou,medo
119,me advertiram sobre isso,medo
120,"ate que enfim, não agüentava mais te esperar",raiva
121,eu quero meu dinheiro de volta agora!,raiva
122,eu odeio a escola!,raiva
123,vou fazer picadinho de você,raiva
124,detesto trabalhar no verão,raiva
125,"quero minha comida, e quero agora!",raiva
126,melhor você recolher minhas compras agora!,raiva
127,quero descer agora sua maluca,raiva
128,vou reclamar com o gerente!,raiva
129,vai engolir o que disse!,raiva
130,ele me ridiculariza diante de todos,raiva
131,não quero mais saber de você,raiva
132,vejo você na cadeia safado!,raiva
133,agora vou ter que pagar mais isso ainda!,raiva
134,saia logo do banheiro!,raiva
135,suba já para o seu quarto!,raiva
136,eu falei para calar a boca seu idiota!,raiva
137,eu disse para você cair fora!,raiva
138,não agüento mais que fiquem me culpando sem motivo!,raiva
139,não suporto olhar na sua cara!,raiva
140,eu não sou um elefante,raiva
141,juro que se olhar pra mim eu o mato!,raiva
142,"chega, não quero saber mais deste assunto",raiva
143,como pode ser tão burro?,raiva
144,não me aborreça seu moleque,raiva
145,não quero me aborrecer com estas bobagens,raiva
146,ele me agrediu!,raiva
147,eu amaldiçôo você e a sua família,raiva
148,não me amole,raiva
149,não venha me amolar,raiva
150,isso tudo e uma tormenta,raiva
151,eu vou matar você,raiva
152,para que simplificar se você pode sempre complicar,raiva
153,isso esta me enlouquecendo,raiva
154,estou furiosa com você,raiva
155,isso mesmo fique furioso,raiva
156,esses livros são magníficos,surpresa
157,esse vinho e magnífico,surpresa
158,seria magnífico ver o esperaculo,surpresa
159,o casamento foi estupendo,surpresa
160,e um jogador bárbaro estupendo,surpresa
161,esse dia esta excelente,surpresa
162,o cantor estava excelente,surpresa
163,o universo e assombroso,surpresa
164,o amor e sublime,surpresa
165,sua sublime atuação,surpresa
166,e formidável meu caro walter,surpresa
167,como e formidável a presença de todos,surpresa
168,e formidável ter a quem dizer adeus,surpresa
169,e um conselheiro formidável o seu,surpresa
170,o artigo foi formidável,surpresa
171,pica pau e um destaque no imaginário brasileiro,surpresa
172,ah! o absoluto do imaginário,surpresa
173,isso foi surreal,surpresa
174,uma historia completamente surreal,surpresa
175,essas pinturas beiram o surreal,surpresa
176,você nem acreditam de tão surreal,surpresa
177,incrível!,surpresa
178,fiquei pasma com tudo isso,surpresa
179,você me deixa pasmo,surpresa
180,estou admirado com a sua astucia,surpresa
181,que bela surpresa você me fez,surpresa
182,não acredito que fez isso!,surpresa
183,isso foi apavorante,surpresa
184,isso tão de repente,surpresa
185,estou chocada com isso,surpresa
186,estou surpresa e desconsertada,surpresa
187,esta realmente deslumbrante querida,surpresa
188,fiquei completamente sem plavras,surpresa
189,e espantoso o modo como ele nos olha,surpresa
190,incrivel você estar aqui,surpresa
191,que fantástica festa minha querida,surpresa
192,isso tudo e um erro,tristeza
193,eu sou errada eu sou errante,tristeza
194,tenho muito dó do cachorro,tristeza
195,e dolorida a perda de um filho,tristeza
196,essa tragedia vai nos abalar para sempre,tristeza
197,perdi meus filhos,tristeza
198,perdi meu curso,tristeza
199,sou só uma chorona,tristeza
200,você e um chorão,tristeza
201,se arrependimento matasse,tristeza
202,me sinto deslocado em sala de aula,tristeza
203,foi uma passagem fúnebre,tristeza
204,nossa condolências e tristeza a sua perda,tristeza
205,"desanimo, raiva, solidão ou vazies, depressão",tristeza
206,vivo te desanimando,tristeza
207,estou desanimado,tristeza
208,"imperador sanguinário, depravado e temeroso",tristeza
209,meu ser esta em agonia,tristeza
210,este atrito entre nos tem que acabar,tristeza
211,a escuridão desola meu ser,tristeza
212,sua falsa preocupação,tristeza
213,sua falsidade me entristece,tristeza
214,quem esta descontente com os outros esta descontente consigo próprio,tristeza
215,a torcida esta descontente com a demissão do tecnico,tristeza
216,estou bastante aborrecido com o jornal,tristeza
217,me sinto solitário e entediado,tristeza
218,a vida e solitária para aqueles que não são falsos,tristeza
219,como com compulsão depois da depressão,tristeza
220,estou me desencorajando a viver,tristeza
221,ele desencoraja minhas vontades,tristeza
222,isso vai deprimindo por dentro,tristeza
223,acho que isso e defeituoso,tristeza
224,os remedios me derrubam na cama,tristeza
225,a depressão vai me derrubar,tristeza
226,suas desculpas são falsas,tristeza
227,não magoe as pessoas,tristeza
